episode,compliance_score,adversarial_resistance,drift_adaptation,total_reward,timestamp
1,0.6,0.3,0.0,0.06,2026-04-26T06:03:14.749254
2,0.6,0.3,0.0,0.06,2026-04-26T06:03:14.999566
3,0.6,0.3,0.0,0.06,2026-04-26T06:03:15.243166
4,0.6,0.3,0.0,0.06,2026-04-26T06:03:15.472626
5,0.6,0.3,0.0,0.06,2026-04-26T06:03:15.710581
6,0.6,0.3,0.0,0.06,2026-04-26T06:03:15.951564
7,0.6,0.3,0.0,0.06,2026-04-26T06:03:16.183465
8,0.6,0.3,0.0,0.06,2026-04-26T06:03:16.417343
9,0.6,0.3,0.0,0.06,2026-04-26T06:03:16.644814
10,0.6,0.3,0.0,0.06,2026-04-26T06:03:16.857398
11,0.6,0.3,0.0,0.06,2026-04-26T06:03:17.069949
12,0.6,0.3,0.0,0.06,2026-04-26T06:03:17.281444
13,0.6,0.3,0.0,0.06,2026-04-26T06:03:17.493563
14,0.6,0.3,0.0,0.06,2026-04-26T06:03:17.706097
15,0.6,0.3,0.0,0.06,2026-04-26T06:03:17.945539
16,0.6,0.3,0.0,0.06,2026-04-26T06:03:18.163417
17,0.6,0.3,0.0,0.06,2026-04-26T06:03:18.375182
18,0.6,0.3,0.0,0.06,2026-04-26T06:03:18.586868
19,0.6,0.3,0.0,0.06,2026-04-26T06:03:18.798742
20,0.6,0.3,0.0,0.06,2026-04-26T06:03:19.011662
21,0.6,0.3,0.0,0.06,2026-04-26T06:03:19.223529
22,0.6,0.3,0.0,0.06,2026-04-26T06:03:19.434673
23,0.6,0.3,0.0,0.06,2026-04-26T06:03:19.647137
24,0.6,0.3,0.0,0.06,2026-04-26T06:03:19.861242
25,0.6,0.3,0.0,0.43999999999999995,2026-04-26T06:03:20.075302
26,0.6,0.3,0.0,0.43999999999999995,2026-04-26T06:03:20.289879
27,0.6,0.3,0.0,0.43999999999999995,2026-04-26T06:03:20.507477
28,0.6,0.3,0.0,0.43999999999999995,2026-04-26T06:03:20.725052
29,0.6,0.3,0.0,0.43999999999999995,2026-04-26T06:03:20.941288
30,0.6,0.3,0.0,0.43999999999999995,2026-04-26T06:03:21.157573
31,0.6,0.3,0.0,0.43999999999999995,2026-04-26T06:03:21.371515
32,0.6,0.3,0.0,0.43999999999999995,2026-04-26T06:03:21.587137
33,0.6,0.3,0.0,0.43999999999999995,2026-04-26T06:03:21.806745
34,0.6,0.3,0.0,0.43999999999999995,2026-04-26T06:03:22.026372
35,0.6,0.3,0.0,0.43999999999999995,2026-04-26T06:03:22.243497
36,0.6,0.3,0.0,0.43999999999999995,2026-04-26T06:03:22.459830
37,0.6,0.3,0.0,0.43999999999999995,2026-04-26T06:03:22.673154
38,0.6,0.3,0.0,0.43999999999999995,2026-04-26T06:03:22.886418
39,0.6,0.3,0.0,0.43999999999999995,2026-04-26T06:03:23.099570
40,0.6,0.3,0.0,0.43999999999999995,2026-04-26T06:03:23.313175
41,0.6,0.3,0.0,0.43999999999999995,2026-04-26T06:03:23.527016
42,0.6,0.3,0.0,0.43999999999999995,2026-04-26T06:03:23.739289
43,0.6,0.3,0.0,0.43999999999999995,2026-04-26T06:03:23.952929
44,0.6,0.3,0.0,0.43999999999999995,2026-04-26T06:03:24.165182
45,0.6,0.3,0.0,0.43999999999999995,2026-04-26T06:03:24.377839
46,0.6,0.3,0.0,0.43999999999999995,2026-04-26T06:03:24.590221
47,0.6,0.3,0.0,0.43999999999999995,2026-04-26T06:03:24.801707
48,0.6,0.3,0.0,0.43999999999999995,2026-04-26T06:03:25.012945
49,0.6,0.625,0.0,1.14,2026-04-26T06:03:25.225723
50,0.6,0.625,0.0,1.14,2026-04-26T06:03:25.437970
51,0.6,0.625,0.0,1.14,2026-04-26T06:03:25.649888
52,0.6,0.625,0.0,1.14,2026-04-26T06:03:25.861093
53,0.6,0.625,0.0,1.14,2026-04-26T06:03:26.074873
54,0.6,0.625,0.0,1.14,2026-04-26T06:03:26.288639
55,0.6,0.625,0.0,1.14,2026-04-26T06:03:26.501473
56,0.6,0.625,0.0,1.14,2026-04-26T06:03:26.714082
57,0.6,0.625,0.0,1.14,2026-04-26T06:03:26.929217
58,0.6,0.625,0.0,1.14,2026-04-26T06:03:27.145605
59,0.6,0.625,0.0,1.14,2026-04-26T06:03:27.359605
60,0.6,0.625,0.0,1.14,2026-04-26T06:03:27.573763
61,0.6,0.625,0.0,1.14,2026-04-26T06:03:27.786104
62,0.6,0.625,0.0,1.14,2026-04-26T06:03:27.998116
63,0.6,0.625,0.0,1.14,2026-04-26T06:03:28.209861
64,0.6,0.625,0.0,1.14,2026-04-26T06:03:28.421386
65,0.6,0.625,0.0,1.14,2026-04-26T06:03:28.633769
66,0.6,0.625,0.0,1.14,2026-04-26T06:03:28.845573
67,0.6,0.625,0.0,1.14,2026-04-26T06:03:29.058785
68,0.6,0.625,0.0,1.14,2026-04-26T06:03:29.270694
69,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:29.482276
70,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:29.694332
71,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:29.906002
72,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:30.117372
73,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:30.329901
74,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:30.542176
75,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:30.753923
76,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:30.965107
77,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:31.178877
78,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:31.391601
79,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:31.604008
80,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:31.816082
81,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:32.029915
82,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:32.244148
83,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:32.458779
84,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:32.675751
85,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:32.890245
86,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:33.104531
87,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:33.318406
88,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:33.536868
89,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:33.760808
90,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:33.983899
91,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:34.207050
92,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:34.427043
93,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:34.643098
94,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:34.859732
95,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:35.076669
96,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:35.294247
97,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:35.508282
98,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:35.720325
99,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:35.932563
100,0.9,0.7874999999999999,0.0,3.0300000000000002,2026-04-26T06:03:36.146017
